message,soc
1.Hypothese zum Fall:,35
"Selbstattributation der Familie Peters ist, sie hätten keine Begabung für Mathe",35
Belege und Begründungen:,35
"Aussage Vater, die Peters waren schon immer der Schrecken der Mathematklehrer gewesen",35
Relativierungen des Arguments:,35
"Es ist unrealistisch, dass in einer Familie nicht wenigstens ein Mitglied mit Grundtalent ist",35
2.Hypothese zum Fall:,35
"Fremdattributation der Lehrerin ist,",35
dass sie das Argument als Ausrede empfindet,-1
Belege und Begründungen:,35
Michael ist nur faul,35
Relativierungen des Arguments:,35
"es ist durchaus möglich, dass ihm eine gewisse Begabung abgeht und er deshalb nicht sehr motiviert ist",35
1.Hypothese zum Fall:,35
in diesem fall muss essich um eine internal,35
stabile attribution handeln,35
Belege und Begründungen:,35
"eltern sagen ,das 1.)die ganze familie keine leuchten in mathe waren und der vater noch hinzufügt, dass er sein matheprüfung auch nur gerade so geschafft hat.",35
internal deshalb weil begabung in derperson selbst zu lokalisieren ist,35
und stabil weil sich begabung nicht ändert.,35
Relativierungen des Arguments:,35
mir fällt keine ein,35
1.Hypothese zum Fall:,35
in diesem fall handelt es sich um eine external,37
stabile attribution.,37
Belege und Begründungen:,35
"weil er von anderen gesagt bekommt, dass er nichts kann (eltern)",37
bzw. faul ist (lehrerin),37
Relativierungen des Arguments:,35
"andererseits wird es internal, weil er es irgendwann selbst glaubt und sich einredet",37
"ich stimme der 2. hypothes zu,",39
lehrerin sollte versuchen durch eine günstigere fremdattribution ihren schüler zu motivieren,37
hab ich verpeilt,36
1.Hypothese zum Fall:,35
hi warum schreibt ihr nicht mehr,36
wie sollen wir das mit der analyse am besten machen?,36
Belege und Begründungen:,35
Relativierungen des Arguments:,35
man kann drei verschiedene hypothesen aufstellen:,37
1. Lehrerin: external,37
variabel,37
2. Eltern: external,37
stabil,37
3. Kind: internal,37
stabil,37
(bzw. variabel),37
(wird zwischen lehrerin und eltern hin und hergerissen. ist aber eher auf der seite der eltern),37
"Die Aufstellung finde ich auch ganz gut, mir fällt auch nichts besseres ein",39
"Bin ich auch der Meinung,",39
"nur wie die ""Motivation"" in dem Beispiel ist wird sie wohl nicht viel Sinn machen.",37
Jemanden einfach nur als faul zu bezeíchnen motiviert nicht wirklich,37
irgendie haben jetzt alle aufgaben bearbeitet.,36
oder fällt euch noch irgenwas anderes zu einem der fälle ein?,36
"Nein ehrlich gesagt nicht, wüsste auch nichts mehr zu sagen",39
ich fange jetzt einfach mal mit der analyse an:,37
es liegen in diesem fall mehrere arten von atributionen vor:,37
1.)die fremdatributonen:a)die der lehrerin:,37
die lehrerin fasst aussage von michael über die fehlende mathematische begabung der familie peters als ausrede auf.,37
sie erzeugt damit eine internal,37
variable atribution.,37
"wirkung:sehr ungünstig, da michael sich unverstanden und wahrscheinlich auch hilflos fühlt, weil ja garnicht bekannt ist, ob er so faul ist.",37
"denn wenn er es nicht war, wird er sich in zukunft auch nicht mehr anstrengen, weil er denkt,dass es sowieso nichts bringen wird.",37
b) die eltern,37
die eltern sind der meinung dass peters schlechte mathenoten eher auf die mangelnde begabung in der ganzen familie zurück zu führen sei.,37
hiermit üben sie auf peter eine internal,37
stabile fremdatribution aus.,37
"wirkung:auch sehr ungünstig, da es in diesem fall für peter aussichtlos erscheint, sich weiter anzustrengen, da er sowieso unbegabt ist und dies auch bleiben wird.",37
2.)selbstatribution von peter,37
"a) in der neunten klasse:war positiv attributiert von seiner lehrerin, da sie gesagt er müsse sich anstrengen um die klasse zu schaffen, er hat sie dann auch geschafft.(",37
internal,37
variable atribution),37
"in der zehnten jedoch wird er von beiden ungünstigen atributionen dermassen beeinflusst, dass er nicht wirklich glaubt es nocheinmal zu schaffen.",37
lösung des falls die lehrerin,37
als auch die eltern sollten durch ein reattributionstraining lernen die ungünstigen attributionen zu verhindern.,37
und mit günstigeren attributionen versuchen michael zu motivieren und mehr für die mathematik zu begeistern.,37
Wie wollen wir das mit der gemeinsamen Analyse denn jetzt machen,36
1.Hypothese zum Fall:,35
1. Lehrerin ist external,37
variabel,37
2. Eltern sind external,37
stabil,37
3. Kind ist internal,37
stabil,37
(ein bischen auch variabel,37
Belege und Begründungen:,35
"1. Lehrerin behauptet, dass er faul wäre",37
2. Eltern schieben alles auf die gene,37
3. Kind glaubt den Eltern und lässt sich auch noch von der Lehrerin beeinflussen,37
"sorry habe das jetzt erst gerade gesehen,",36
was haltet ihr von meinem vorschlag???,36
"Bin ich deiner Meinung, ich finde die Analyse höhrt sich gut und richtig an auch von den Einteilungen der Attributionsstufen",39
wer macht jetzt die anderne,36
müssen wir aufgrund von zeitmangel wohl irgendwie aufteilen,36
Die Lehrerin ist doch eigentlich internal,37
Variabel,37
"sie denkt ja er strengt sich zu wenig an, oder",37
internal wäre sie wenn sie das von sich behaupten würde. sie urteilt aber über den schüler,37
Mir fällt so oder so keine Relativierung des Arguments ein,36
1.Hypothese zum Fall:,35
"Michael darf, um seine",35
"Motivation zu steigern,",35
seinen Misserfolg in Mathe,35
nicht auf Veranlagung begründen.,35
Belege und Begründungen:,35
Die Veranlagung ist eine stabile Attribution.,35
"Eine stabile Attribution ist nicht änderbar und daher nach der Attributionstheorie keine gute Ausgangslage, um an der Situation etwas zu ändern.",35
Relativierungen des Arguments:,35
"Michaels Selbstbewusstsein wird, wenn er",35
seine,35
schlechten Leistungen,35
"auf die Veranlagung schiebt,",35
"nicht so sehr leiden, wie wenn er es auf seine eigenen Anstrengungen schieben würde und trotz gesteigertem Lernverhaltens scheitern würde.",35
1.Hypothese zum Fall:,35
Es wäre gut wenn Michael sich der Attribuierung seiner Lehrerin anschließen könnte,35
um überhaupt die Chance für eine Leistungs steigeung zu bekommen.,35
Belege und Begründungen:,35
Eine Variable,35
Attribution eines,35
Misserfolges,35
wirkt sich positiv auf die Motivation aus.,35
Relativierungen des Arguments:,35
"Michel muss jedoch aufpassen, falls seine Misserfolge trotz gesteigerter Anstrngung weiter anhalten, dass er die Misserfolge nicht zu sehr auf sich selbst bezieht.",35
1.Hypothese zum Fall:,35
Selbstattributation,35
"der Familie Peters ist, sie hätten keine Begabung für Mathe",35
Belege und Begründungen:,35
"Aussage Vater, die Peters waren schon immer der Schrecken der Mathematklehrer gewesen",35
Relativierungen des Arguments:,35
"Es ist unrealistisch, dass in einer Familie nicht wenigstens ein Mitglied mit Grundtalent ist",35
2.Hypothese zum Fall:,35
Fremdattributation der Lehrerin,35
"ist, dass sie das Argument als Ausrede empfindet",35
Belege und Begründungen:,35
Michael ist nur faul,35
Relativierungen des Arguments:,35
"es ist durchaus möglich, dass ihm eine gewisse Begabung abgeht und",35
er deshalb nicht sehr motiviert ist,35
1.Hypothese zum Fall:,35
in diesem fall muss essich um eine internal,35
stabile attribution handeln,35
Belege und Begründungen:,35
"eltern sagen ,das 1.)die ganze familie keine leuchten in mathe waren und der vater noch hinzufügt, dass er sein matheprüfung auch nur gerade so geschafft hat.",35
internal deshalb weil begabung in derperson selbst zu lokalisieren ist,35
und stabil weil sich begabung nicht ändert.,35
Relativierungen des Arguments:,35
mir fällt keine ein,35
warum ist dies unrealistisch?,36
1.Hypothese zum Fall:,35
in diesem fall handelt es sich um eine external,35
stabile attribution.,35
Belege und Begründungen:,35
"weil er von anderen gesagt bekommt, dass er nichts kann (eltern)",37
bzw. faul ist (lehrerin),37
Relativierungen des Arguments:,35
"andererseits wird es internal, weil er es irgendwann selbst glaubt und sich einredet",37
"ich stimme der 2. hypothes zu,",39
lehrerin sollte versuchen durch eine günstigere fremdattribution,39
ihren schüler zu motivieren,39
hab ich verpeilt,39
1.Hypothese zum Fall:,35
hi,36
warum schreibt ihr nicht mehr,36
