message,epi
Michael ist sicher ein sehr gutes Beispiel ! Ich denke vielen Jugendlichen in der 10. Klasse geht es nicht anders. ,0
"Die Eltern sollten natürlich idealerweise auch eher zum Lernen motivieren, indem sie sagen, dass er das schaffen kann, wenn er sich anstrengt. Aber der Vater hat anscheinend schon in seiner Schülerzeit diese Selbstattribuierungstendenz gehabt.",0
es gehen mißerfolge voraus,1
 für seinen Misserfolg verantwortlich.,1
es gehen mißerfolge voraus,1
"Für euch zur Info: In den Reitern über dem Chat findet ihr den Fall, die Aufgabenbeschreibung und die Attributionstheorie. Im Chat scrollen könnt ihr, indem ihr die linke Maustaste im Chat gedrückt haltet und die Maus dann in dem Chatfenster nach oben oder unten bewegt. Eine weitere Möglichkeit zum Scrollen ist, das Touchpad am Laptop mit zwei Fingern zu bedienen, wenn diese Funktion aktiviert ist. Falls ihr Fragen habt, könnt ihr sie jederzeit stellen.",0
"Die Lehrerin versucht zwar ihn von der stabilen internalen Lokalität auf die variable internale Lokalität zu bekommen, aber es ist schwierig, da Michael seit 10 Jahren glaubt, kein Mathe zu können.",0
Bist du auch da Funchal?,0
"der vater erzählt,dass er selbst nur mit spicken und abschreiben die klausur bestanden hat.",0
 Er begründet seine schlechten mathematischen Leistungen mit Hilfe seiner,1
"Und die Lehrerin hätte anders reagieren können, mit Handlungsvorschlägen und einer Abfrage seiner eigenen Attribution?",0
FÜR DIESEN FALL RELEVANTE BEGRIFFE DER ATTRIBUTIONSTHEORIE:- GEHT DER ATTRIBUTION EIN ERFOLG ODER EIN MISSERFOLG VORAUS?,0
"Ich bin jetzt davon ausgegangen, da er selbst sagt das Mathe nicht sein Fach sei,",0
Michaels schlechte mathematische Leistungen sind auf ungünstige,0
Es geht ein Misserfolg im Mathematikunterricht voraus.Die Versetzung in die nächste Klasse ist gefährdet.,1
"Also ich bin zufrieden, ich denke wir haben noch gesagt, dass wir das mit der Motivation, was ich am Anfang gesagt habe, noch dazumachen könnten, aber muss nicht ;)",0
"damit sie ihrem sohn ebenfalls vermitteln, dass es eine sache der anstrengung ist und nicht des könnens",1
"Danke! Ihr könnt den Chat jetzt über den ""Chat beenden""-Button schließen.",0
"Du hast gerade etwas gesagt, dem ich  zustimme, und zwar dass das Denken seiner Familie nicht förderlich ist. Diese genannten Aspekte sind ausschlaggebend für die Situation. Hinzu kommt, dass der Schüler an Ende sagt, dass er hofft, dass er das nächste Schuljahr schafft. hier sind schon einige Zweifel herauszulesen, die auf diese Elemente zurückzuführen sind.",1
"Information aus dem Fall, die wir noch nicht betrachtet haben, ist, dass man dem Jungen und den Eltern beibringt, den mangelnden Erfolg in Mathe auf mangelnde Anstrengung (internal, variabel) zurückzuführen und wenn man trotzdem mal schlecht ist auf externale, variable Faktoren, wie dass man mal Pech gehabt hat",1
"michael ist nicht der meinung wirklich schlecht in mathe zu sein, er hat einfach keine lust zu lernen",0
- Michael und ,0
"wenn sie andere Attrbutionsarten anwenden, könnte man Peter mehr motivieren",0
 variable Attribution.,1
"Meiner Meinung nach sollte Michael eher den Tipp der Lehrerin befolgen, da sie die Fachkompetenz besitzt",0
klappt bei mir irgendwie nicht,0
Michaels schlechte Leistungen,1
Es geht ein Misserfolg im Mathematikunterricht voraus.Die Versetzung in die nächste Klasse ist gefährdet.,1
"Ich glaube aber,dass er von zu Hause ungünstige Fremdmotivation erhält,da er mangelnde Begabung in Mathe aufgrund der Aussagen der Eltern evtl. für erblich oder mangelnde Fähigkeit hält",0
Michael führt sein Versagen in Mathematik ,1
Belege und Begründungen:,0
"Genau! Aussage der Lehrerin könnte ihn also motivieren zu lernen, im Gegensatz zu den Aussagen der Eltern, Ein wichtiges Konzept, was man dabei beachten sollte, ist, dass sein Vater ihm Außerdem Wege aufzeigt, wie er betrügen kann, um zu bestehen. Wenn er dann Erfolg hat, wird sein Selbstkonzept in Mathe immernoch schlecht bleiben.",0
"Der Vater macht Glück für seinen Abschluss verantwortlich (Selbstattribution, extern",1
"Auch Fremdattribution spielt eine große Rolle. Die Eltern attribuieren den Misserfolg ihres Sohnes auf internal stabile Eigenschaften, was dazu führt, dass der Sohn dies ebenfalls tut. Die Lehrerin hingegen attribuiert sie auf internal variable Zustände, nämlich fehlende Anstrengung. Die internal stabile Fremdattribution der Eltern führt dazu, dass der Sohn keine wirkliche Motivation zeigt, seine Leistung zu verbessern. Die internal variable Attribution der Lehrerin hingegen könnte dem Schüler als Anreiz dienen.",0
 indem sie seine Schwäche ,1
" stabile"" Klassifikation",0
den misserfolg ,1
"Der Schüler wird sich nicht weiter anstrengen, weil er es für sinnlos hält.",0
Ist das eure gemeinsame Analyse und seid ihr beide einverstanden oder wollt noch etwas ergänzen?,0
Belege und Begründungen:,0
Belege und Begründungen:,0
"Du hast gerade etwas gesagt, dem ich zustimme, und zwar, dass die Eltern Michael dahingehend unterstützen sollten, Misserfolge auf variable Ursachen zurückzuführen und von der Stabilität wegzukommen.",1
"Also sind wir uns einig, dass Michael und sein Umfeld ein Reattributionstraining benötigen, damit Michael seinen Misserfolg und seinen Erfolg künftig internal variabel attribuieren kann? Ich denke, dass die Art und Weise, wie seine Lehrerin und seine Eltern seinen Misserfolg beschreiben, für Michael nicht hilfreich ist.",1
1.Hypothese zum Fall:,0
Dem stimme ich zu.,0
"aber auch seine lehrerin sagt ihm, dass er sich anstrengen müsste um weiterzukommen!",0
"oh sorry, hab die passende Stelle gesucht",0
Da bin ich deiner Meinung !,0
jap alles gut so,0
außerdem würde ihm und ,0
manche eltern motivieren ihre kinder und helfen ihnen beim lernen,0
die ausrede einer internal,0
"EIN MIßERFOLG, DA DAS KIND DENK SEINE ELTERN ""WAREN NICHT GUT""IM MATHE  UND LEBEN TROZDEM WARUM SOLL ICH MIR DANN SO VIELE GEDANKEN MACHEN WIE ICH ES WEITER MACHEN SOLL",1
 (welche er nätürlich nicht dem ZUfall zuschieben darf) hat er dann auch mehr Motivation für weitere Gute NOten zu lernen,1
"Du hast gerade geschrieben, dass Michael Peters und Schwierigkeiten in Mathe hat. Dem stimme ich voll zu. Seine Eltern hatten offensichtlich auch Schwierigkeiten in Mathe und scheinen nicht sonderlich überrascht.",0
"Information aus dem Fall, die wir noch nicht betrachtet haben, ist, dass eine Eltern Ihn bei der Ansicht unterstützen",0
Er hofft auf den glücklichen Zufall,1
Belege und Begründungen:,0
"Information aus dem Fall, die wir noch nicht betrachtet haben, ist, dass man dem Jungen und den Eltern beibringt, den mangelnden Erfolg in Mathe auf mangelnde Anstrengung (internal, variabel) zurückzuführen und wenn man trotzdem mal schlecht ist auf externale, variable Faktoren, wie dass man mal Pech gehabt hat",1
"In meinen Augen attribuieren sie seine Erfolge eher internal, nämlich eben auf seine Fähigkeiten. Und ich stimme dir zu, eine Attribution auf variable Faktoren wäre hier bei Misserfolgen sinnvoller.",1
"Die Schwierigkeit der Hauptperson Michael ist, dass er keine guten Noten in Mathematik hat und diese seine Versetzung gefährden/gefährdet haben. Michael attribuiert seinen Misserfolg in Mathe internal stabil.  Stabil, weil das eine Fähigkeit darstellt und internal, weil es von Michael ausgeht. Michaels eigene Herangehensweise an Mathe ist demnach nicht förderlich für seinen Lernerfolg Michaels Eltern bestätigen Michael external in seiner ungünstige Selbstattribution. Unter anderem halten die Eltern sich und die ganze Familie für unbegabt in Mathe. Ein Reattributionstraining wäre interessant für die Lehrerin und die Eltern. Die Eltern sollten lernen Michael dabei zu unterstützen, Misserfolge auf variable Ursachen zurückzuführen",1
Die Lehrerin ist durch diese Aussage der Eltern negativ beeinflusst.,0
Michael sollte seinen Misserfolg,1
 indem sie seine Schwäche ,1
"Also sind wir uns einig, dass Michael und sein Umfeld ein Reattributionstraining benötigen, damit Michael seinen Misserfolg und seinen Erfolg künftig internal variabel attribuieren kann? Ich denke, dass die Art und Weise, wie seine Lehrerin und seine Eltern seinen Misserfolg beschreiben, für Michael nicht hilfreich ist.",1
 external,1
"JA genau, das reicht doch dann so, oder?",0
FÜR DIESEN FALL RELEVANTE BEGRIFFE DER ATTRIBUTIONSTHEORIE:- GEHT DER ATTRIBUTION EIN ERFOLG ODER EIN MISSERFOLG VORAUS?,0
"abe das jetzt erst gerade gesehen, ",0
zumindest eine Falsche,0
Er attribuiert seinen Erfolg external,1
Dem kann ich nur zustimmen.,0
 Außerdem führt er seine misserfolge auf ,1
Der Grund für seine schlechten Noten würde dann in der mangelnden Anstrengung liegen,1
 für seinen Misserfolg verantwortlich.,1
mangelnde Begabung ist kein zwingender Grund für Misserfolg,0
"Du hast gerade etwas gesagt, dem ich zustimme, und zwar, dass er auch versuchen könnte, den Zufall als Ursache für den Misserfolg zu betrachten und dem Zufall könnte er nicht beeinflussen,da die Klassenarbeit zB bei dem nächsten Mal schon wieder vollkommen anders sein könnte. Im Prinzip könnte man allgemein davon ausgehen, dass es sich dabei um eine external variable Attribution handelt, oder was meinst du? Weil die Lehrerin spricht seine Anstrengung an (variabel) und geht also davon aus, dass diese sich verändern kann. Er selbst ist am Ende bisschen offen dafür und lässt es quasi auf sich zukommen, was im neuen Schuljahr kommen wird. Er ist in dieser hinsicht deswegen variabel und nicht stabil, weil er die Veränderung, die stattfinden könnte nicht von vorn herein ausschließt oder dementiert. Er sagt ja selbst ""Das letzte Schuljahr habe ich noch geschafft, aber ich bin wirklich gespannt auf das neue Schuljahr!"" und sagt nicht zB. ""Das nächste Schuljahr werde ich durch Glück schaffen oder allgemein nicht schaffen, weil der Vater gesagt hat, dass die ganze Familie nicht gut in Mathe ist.",1
den misserfolg ,1
"Michaels Problem ist, dass er seine schlechte Mathe-Leistung internal-stabil attribuiert und auf mangelnde Begabung zurückführt. dies ist beeinflusst durch die internal-stabile Attribution seiner Eltern , die meinen, dass die gesamte Famiie vn Natur aus schlecht in Mathe sei. Zudem hat seine Lehrerin eine internal-variable Attribution und hält Michael für faul, was ebenfalls zu seiner schlechten Motivation beiträgt, da es besser wäre ihm eine external-Variable Ursache für seinen Misserfolg zu vermitteln.",1
und motiviet ihn indem sie ihm neue möglichkeiten zeigt und neugierig macht.,0
"okay, ich lege dann einfach mal los :)",0
 variable Attribution,1
