message,epi
"In meinen Augen attribuieren sie seine Erfolge eher internal, nämlich eben auf seine Fähigkeiten. Und ich stimme dir zu, eine Attribution auf variable Faktoren wäre hier bei Misserfolgen sinnvoller.",1
"Eine neue Idee zu diesem Fall ist ob es Michael möglich ist diese Schwierigkeiten im nächsten Schuljahr zu bewältigen. Aufgrund der anhaltenden Schwierigkeiten, die sich in seinen Noten widerspiegeln und dem Bestärken der Eltern (Fremdattribution) in Bezug auf die Fähigkeiten ihres Sohnes (Fremdattribution), sowie dem Nahelegen zweier Lehrpersonen (Fremdattribution) Michael solle sich mehr anstrengen, erscheint dies fraglich. Weiterhin attribuiert Michael seine Misserfolge internal-stabil.",1
"Ein wichtiges Konzept, was man dabei beachten sollte, ist, dass Michael die Probleme in Mathe einer mangelnden Begabung zuschreibt",0
"Du hast gerade etwas gesagt, dem ich zustimme, und zwar dass es sich um eine internal stabile Attribution handelt. Er macht seine mangelnde Begabung (internal) dafür verantwortlich und geht auch nicht davon aus, dass sie sich ändert (stabil). Ausgelöst durch die Fremattribution der Eltern.",1
"Meinst du nicht, dass durch die negative",1
"Michael Peters ist ein Schüler mit Schwierigkeiten im Fach Mathe, die er zunehmend stabil-internal attribuiert (mangelnde Fähigkeit). Beeinflusst wird seine Selbstattribution dabei durch die stabil-internalen Fremdattributionen seiner Eltern (mangelnde Fähigkeit liegt in der Familie) und die variabel-externale Fremdattribution seiner Mathelehrerin (er strenge sich nicht genügend an). Beide Fremdattributionen beeinflussen nach der Attributionstheorie sein Lern- und Leistungsverhalten - schwächen und stärken also Michaels Glauben, mit der Situation umgehen zu können.",1
Also wieder interne Lokalität.,1
"Hier könnte man noch anmerken, daß die Lehrerin, gerade weil sie die Einstellung von M's Eltern kennt, doch auch noch mit ihnen sprechen sollte, ",1
Bitte kommt nun zusammen zu einer Erklärung und schreibt die gemeinsame Analyse am Ende in den Chat.,0
"Das hast du sehr gut verinnerlicht! Also sollten wir unbedingt auf die günstigere Variante hinweisen, welche die Lehrerin in unserem Beispiel vorschlägt.",0
"Der Vater bejaht dies nicht direkt, aber durch das Kommentar mit dem Abspicken unterstütz er die Aussage der Mutter",0
"Dadurch sollte folgender Ansatz für Michael berücksichtigt werden,",0
da alle der Mathematik so abgeneigt sind und das ihrem Sohn auch noch unter die Nase halten.,0
"Auch Fremdattribution spielt eine große Rolle. Die Eltern attribuieren den Misserfolg ihres Sohnes auf internal stabile Eigenschaften, was dazu führt, dass der Sohn dies ebenfalls tut. Die Lehrerin hingegen attribuiert sie auf internal variable Zustände, nämlich fehlende Anstrengung. Die internal stabile Fremdattribution der Eltern führt dazu, dass der Sohn keine wirkliche Motivation zeigt, seine Leistung zu verbessern. Die internal variable Attribution der Lehrerin hingegen könnte dem Schüler als Anreiz dienen.",1
"Daher müssen die Eltern erst einmal lernen ihren Sohn wirklich zu unterstützen, damit er mehr Selbstvertrauen und eine bessere Motivation bekommt.",0
"Ich würde sagen, es handelt sich also um zwei konkurierende fremdattributionen. es kommt darauf an, welche ihn eher beeinflusst. in dem alter gibt man ja sowieso nicht viel auf das was einem autoritäre personen sagen. aber da die eltern ihm ja quasi zustimmen unter dem motto ""ist schon nicht schlimm, du kannst es halt nicht besser"", sehe ich keine guten chancen für ihn, sich tatsächlich zu verbessern",1
"Grundlegende Schwierigkeit des Schülers ist die mangelnde Leistung im Fach Mathematik und der Unwissenheit, wie er damit umzugehen hat. Einfluss auf die Situation nehmen einerseits die Eltern welche das ganze als mehr oder weniger angeborene Eigenschaft abtun und dieses somit auf eine internal/stabile Ebene beziehen. Hiermit vermitteln sie dem Schüler ein Bild der Ausweglosigkeit und der daraus resultierend Unveränderbarkeit in seiner Situation. Andererseits vertritt die Lehrkraft eher die Ansicht, dass diese Schwierigkeit eher internal/variabel ist und eröffnet dem Schüler somit die Ansicht, dass er durchaus etwas an seinem Verhalten ändern kann. Bei letzterem Schritt lässt sich allerdings diskutieren, inwiefern die Vorgehensweise der Lehrkraft optimal gewählt ist.",1
Relativierungen des Arguments:,0
"Ja, würde ich auch sagen. Seine Leistung wird nur auf internal stabile Ursachen zurückgeführt, laut ihm und seinen Eltern ja die fehlende Begabung.",1
 stabile attribution handeln,1
stabile Attribution .,1
Belege und Begründungen:,0
bestätigt.,1
"Ein wichtiges Konzept, was man dabei beachten sollte, ist, dass die Lehrerin als Schlüsselpersonen hier agieren sollte und ihrem Schüler eine günstige Attribution geben sollte (wie sie bereits oben genannt wurde), damit dieser sich eine günstige statt seiner aktuell eher ungünstigen Selbstattribution angewöhnt",0
-> extrem ungünstig,1
Belege und Begründungen:,0
"Parma, bist du bereit? Gib mir Bescheid, wenn wir uns der ersten Fragestellung widmen sollen.:)",0
 Fremdattributation,1
"die seine Noten auf mangelnde Begabung zurückführen, ",1
"Also Michael hat anscheinend Probleme in Mathe. Laut seiner Lehrerin liegt es daran, dass er sich nicht genug anstrengt. Die Eltern meinen aber, dass er einfach keine Begabung für Mathe hat",0
Fremdattributionen seiner Eltern ausgesetzt wäre.,1
" Jeder ist fähig, sei es nun Mathe oder ein anderes Fach, gute(bzw. ausreichende) Noten zu erzielen und somit mit den anderen im Schulstoff ""mitzuhalten"".",0
  Eltern:,1
"Eltern üben ungüstige Attribution auf den Sohn aus,",1
 könnten sowohl die Eltern,1
"Selbstattribution ist ein sehr entscheidender Faktor aber man sollte auch die Herausforderung berücksichtigen, die bei Schüler entsteht etwas trotz negativer Attributation zu schaffen",0
"Du hast gerade geschrieben, dass die Bemerkung seiner Eltern ihn bestärkt. Ich glaube, dass es sich hierbei um eine Fremdattribution handelt, die er übernommen hat.",1
Belege und Begründungen:,0
"Das Problem besteht auch darin, dass seine Eltern seine Auffassung teilen und ihm somit mitteilen, dass er die nötige Begabung dafür nicht hat.",1
Relativierungen des Arguments:,0
"Die Gründe für die Schwierigkeiten der Hauptperson liegen in der Selbstattribution selbiger, sowie in der Fremdattribution durch die Eltern. Beide Attributionen zielen auf die mangelnde Begabung der Hauptperson ab, also eine internal, stabile Attribution. Zudem sieht die Hauptperson trotz der Fremdattribution von Frau Weber auf Faulheit/Anstrengung (internal, variabel) nicht optimistisch auf das kommende Schuljahr.",1
"Genau, also das meinte ich auch, dass die Aussage der Lehrerin ist nur teilweise hilfreich für den Schüler ist und vor allem unsachlich.",0
"Achso entschuldigung, Komando zurück, hatte mich verlesen, du hast das mit der Motivation ja schon eingebaut. Perfekt, ich bin dafür alles so zu lassen",0
