message,epi
"Für mich war das nicht ganz eindeutig aus dem Kontext, nach der Überlegung und Durchlesung des Beispiels bin fest davon überzeugt dass sein Misserfolg durch mangelnde Begbtung verantwortlich macht. ",0
"er schiebt es auf die begabung, aber ich denke faulheit spielt auch eine rolle, d. h. mangelndes interesse gehört hier auch dazu!",1
"Eine neue Idee zu diesem Fall ist, dass der Vater von Michael (Fremdattribution) die Mathelehrerin Frau Peters als den Faktor sieht, der die schlechten Noten hervorruft (external-stabil, Aufgabenschwierigkeit)",0
" und ihm selbst irgendwie zeigen, dass er vielleicht doch ganz gut in Mathe sein kann, wenn er sich nur anstrengt.",1
"Danke! Ihr könnt den Chat jetzt über den ""Chat Beenden""-Button schließen.",0
"Bevor wir anfangen, könnt ihr mir bestätigen, dass das Halbsätze-Tool bei euch richtig funktioniert? Bitte wählt dazu einen Halbsatz aus und postet ihn in den Chat.",0
und er mitdieser sichtweise motivierter an das lernen herangehen kann.,1
"vll wäre es auch ein ansatz, die eltern zu reatribuieren",1
"Die Schwierigkeit der Hauptperson Michael ist, dass er keine guten Noten in Mathematik hat und diese seine Versetzung gefährden/gefährdet haben. Michael attribuiert seinen Misserfolg in Mathe internal stabil.  Stabil, weil das eine Fähigkeit darstellt und internal, weil es von Michael ausgeht. Michaels eigene Herangehensweise an Mathe ist demnach nicht förderlich für seinen Lernerfolg Michaels Eltern bestätigen Michael external in seiner ungünstige Selbstattribution. Unter anderem halten die Eltern sich und die ganze Familie für unbegabt in Mathe. Ein Reattributionstraining wäre interessant für die Lehrerin und die Eltern. Die Eltern sollten lernen Michael dabei zu unterstützen, Misserfolge auf variable Ursachen zurückzuführen",1
" auch negative Konsequenzen für Michael mitsichbringt,positiver Zuspruch sich aber positiv auswirkt.",1
"Fremdattribution von Vater: Führt seinen Erfolgauf external variable Ursachen zurück, was zumangelnder Bereitschaft für Leistungsverbesserung führt.",0
Die Lehrerin Frau Weber läßt diese aber nicht gelten und weist auf die internal variable Anstrengung hin.,0
ich denke auch dass man alles lernen kann was man will. zur not mit nachhilfe.,0
"Die Lehrerin sollte sich mit Michaels Eltern zusammensetzen und mit ihnen ein persönliches ""Reattributionstraining"" für Michael besprechen.",1
besser wäre wenn die eltern und die lehrerin ihn ermutigen würden dass er dass bestimmt schaffen wird und dass sie ihn unterstützen,1
Ich kanns mal versuchen,0
Sonst tippe ich sie nochmal händisch ab,0
"Möchtest du etwas hinzufügen, Bamberg?",0
ein reattributionstraining durch Eltern und Schüler könnte ihm helfen,1
sondern sein Attributionsmuster kann durch gezielt eingesetztes Training verbessert werden,1
Ihr habt noch 10 Minuten Zeit bis zum Ende der Kollaborationsphase.,0
"Nun kann seine Lehrerin versuchen diese ungünstige Fremdattributation zu beeinflussen, zum Beispiel durch Reattributationstraining.",1
"Michaels Eltern sollten aufhören ihrem Sohn mangelnde Begabung zu unterstellen, sondern ihn zu mehr Anstrengung ermuntern.",1
"hier ist natürlich die Aussage des vaters aus pädagogischer sicht scharf zu verurteilen(spickzettel), weil sie nicht die internen ursachen bestärkt",0
oder internal variable Ursachen wie mangelnde Anstrengung in Betracht ziehen,1
Misserfolge sind bewusst auf variable,1
"Eine neue Idee zu diesem Fall ist, dass Frau Weber am Schulfest betont, sein fehlendes Talent für Mathe sei nur eine Ausrede für seine Faulheit. Sie attribuiert seinen Misserfolg internal variabel",0
"Ok, Ich für meinen Teil wüsste so nichts mehr? Hidalgo wie sieht es bei dir aus ?",0
"Information aus dem Fall, die wir noch nicht betrachtet haben, ist ebenso die Tatsache, dass die Lehrerin meiner Meinung nach auch recht schroff auf der Schulfeier reagiert hat, als sie eine (vielleicht bestehende, man weiß es ja nicht!) Lernschwäche als ""himmelschreiende Faulheit"" bezeichnet hatte (s. 72: ""Nicht nur Selbstattributionen auf Seiten der Lernenden, sondern auch Fremdattributionen, die von außen an die Lernenden herangetragen werden, können eine starke Wirkung  entfalten.""). So impliziert sie ihm Faulheit und mangelnde Leistungsbereitschaft - wir wissen aber nicht, ob dem tatsächlich so ist, das lässt der obige Text ja offen. Sie kennt den Hintergrund nicht genau und ein Reattributionstraining wäre auf jeden Fall eine ratsame Lösung für alle Beteiligten.",1
Ist das eure gemeinsame Analyse und seid ihr beide einverstanden oder wollt noch etwas ergänzen?,0
Der Lehrer sollte sich einschalten und versuchen seine Leistungen durch reattributionsstrainig zu verbessern,1
"Zum Schluss kann vielleicht noch hinzugefügt werden, dass das von dir vorgeschlagene Reattribtionstraining sehr sinnvoll wäre, weil man durch Feedback, solange es konstruktiv ist, immer die beste Rückmeldung und Einschätzung bekommt. Das führt dann im Idealfall zu einer Verbesserung der Leistung und Erhöhung der Motivation.",1
das er sich nun mehr anstrengt,1
dringend erforderlich wäre eine reattribution bei den pädagogischen schlüsselpersonen.,1
Schüler muss eigene Leistungsbereitschaft nicht eigene Begabung als Ursache für Erfolg/Mißerfolg erkennen.,0
"Stimme zu, und seine Aussage darauffolgend, dass er gespannt ist, wie es laufen wird, ist auch mehr ein 'Ich lasse es einfach auf mich zukommen' - was nicht gerade von Anstrengung zeugt",0
"(""Mathe ist nicht mein Fach""..Selbstattribution,",0
Jedoch ist dies vieleicht nicht seine Stärke aber durchaus möglich wie man sieht den Fall in eine interne variable Attribution zu verwandeln.,1
Das ist der Blick des Lehrers auf die Leistungen der Eltern also wäre es doch Fremdattributation,0
könnte sicher die Motivation und das Interesse gefördert werden und somit die Leistung steigern.,1
Misserfolg,1
"Eine neue Idee zu diesem Fall ist, dass sowohl Michael als auch seine Lehrerin und seine Eltern ein Reattributionstraining bräuchten",1
Ja bei mir funktioniert soweit alles,0
" auch negative Konsequenzen für Michael mitsichbringt,positiver Zuspruch sich aber positiv auswirkt.",1
"Die Lehrerin sollte sich mit Michaels Eltern zusammensetzen und mit ihnen ein persönliches ""Reattributionstraining"" für Michael besprechen.",1
aber ich glaube das beides eine rolle spielt,0
"Ich finde die Lehrerin sollte zunächst einmal den Eltern klar machen, dass ihr Sohn nicht besser wird, wenn sie ihn ständig in seiner Meinung von Mathe nichts zu verstehen unterstützen.",1
sondern sein Attributionsmuster kann durch gezielt eingesetztes Training verbessert werden,1
 die Faulheit des Jungen unterstützt. Michael nimmt die ganze Sache ziemlich locker.,1
selbst attribution ist eine stabil internal oder externale attribution,0
Relativierungen des Arguments:,0
Ein Reattributionstraining von Seiten der Lehrerin wäre in diesem Fall sicher sinnvoll und könnte zu einer günstigeren Selbstattribution führen.,1
 stabile attribution handeln,0
"auch könnten die eltern durch reattributionstraining befähigt werden, dem sohn zu helfen, indem sie ihn motivieren z.b.durch external stabile attribution oder durch internal variable attribution. ",1
"3. Die Eltern streben auch kein Reattributionstraining an, um ihrem Sohn zu helfen zu einer variablen Attribution zu gelangen und somit die Möglichkeit zu erreichen Erfolg zu erlangen",1
"Eine neue Idee zu diesem Fall ist, dass man eventuell ein Reattributionstraining mit dem Schüler und den Eltern durchführen sollte",1
"in der zehnten jedoch wird er von beiden ungünstigen atributionen dermassen beeinflusst,",1
"auch könnten die eltern durch reattributionstraining befähigt werden, dem sohn zu helfen, indem sie ihn motivieren z.b.durch external stabile attribution oder durch internal variable attribution. ",1
"michael übernimmt diesen gedanken und istnicht mehr motiviert,für ihn scheint es aussichtslos sich anzustrengen, weil er eh nichts dran ändern kann.",1
"Du hast gerade etwas gesagt, dem ich zustimme, und zwar, dass Michaels Herangehensweise nicht förderlich für seinen Lernerfolg ist",0
"In der Attributionstheorie ist ""Begabung"" unter internal stabil.",0
"seinen Eltern ein Reattributionstraining gut tun, da er sich selbst so schlecht einschätzt und sich dadurch die Lernmotivation nur noch mehr verschlechtert.",1
"Information aus dem Fall, die wir noch nicht betrachtet haben, ist ebenso die Tatsache, dass die Lehrerin meiner Meinung nach auch recht schroff auf der Schulfeier reagiert hat, als sie eine (vielleicht bestehende, man weiß es ja nicht!) Lernschwäche als ""himmelschreiende Faulheit"" bezeichnet hatte (s. 72: ""Nicht nur Selbstattributionen auf Seiten der Lernenden, sondern auch Fremdattributionen, die von außen an die Lernenden herangetragen werden, können eine starke Wirkung  entfalten.""). So impliziert sie ihm Faulheit und mangelnde Leistungsbereitschaft - wir wissen aber nicht, ob dem tatsächlich so ist, das lässt der obige Text ja offen. Sie kennt den Hintergrund nicht genau und ein Reattributionstraining wäre auf jeden Fall eine ratsame Lösung für alle Beteiligten.",1
sondern sein Attributionsmuster kann durch gezielt eingesetztes Training verbessert werden,1
"Das kann nur demotivierend sein, wenn man es nur auf seine Person zurückführt.",1
seine eigene ,0
"Ich hätte mir da aber eine bessere Ausrede ausgedacht, als die mit der Party.",0
" auch negative Konsequenzen für Michael mitsichbringt,positiver Zuspruch sich aber positiv auswirkt.",1
"es ist alles gesagt, ich stimme dem zu.",0
Misserfolg,1
"Für mich schon.Ich mach aber auch einen anderen Fall,wenn ihr wollt.",0
Ja bei mir funktioniert soweit alles,0
"Aber auch für Michael wäre ein solches Training gut, da er lernen könnte, dass der Grund für seine schlechten Leistungen variabel ist. ",1
"der schüler muss sich besser anstrengen um versetzt zu werden,die eltern sollten ihn mehr motivieren und ihm nicht erzählen, dass sie genauso schlecht in mathe gewesen sind. ",0
 Ursachen zurückzuführen.,1
"und demotivieren, da die noten schwer verbesserbar sind. er auch schlecht ist, auch wenn er sich anstrengen würde",1
"An diesem Punkt könnte man mit Reattributionstranings ansetzen und den Eltern vermitteln, dass sie den Misserfolg ihres Sohnes günstig attribuiieren sollten, sodass dieser dies ebenfalls tut. Auch mit dem Schüler selbst könnte man Trainings durchführen, um seine ungünstige Selbstattribution zu verändern.",1
Ja,0
Durch ein Reattributionstraining ,1
Ein Reattributionstraining von Seiten der Lehrerin wäre in diesem Fall sicher sinnvoll und könnte zu einer günstigeren Selbstattribution führen.,1
"3. Die Eltern streben auch kein Reattributionstraining an, um ihrem Sohn zu helfen zu einer variablen Attribution zu gelangen und somit die Möglichkeit zu erreichen Erfolg zu erlangen",1
"Was Frau Weber die Lehrerin, meint ist dass es internal variabel ist, weil es etwas mit der Anstrengung zu tun hat.",0
"Aber auch für Michael wäre ein solches Training gut, da er lernen könnte, dass der Grund für seine schlechten Leistungen variabel ist. ",1
Lehrer speziell sollten niemanden bevorzugen oder Vorurteile gegen bestimmte Personen haben. Auch das demotiviert.,0
"Du hast gerade geschrieben, dass der Misserfolg auch auf external, variable Attributionen zurückzuführen sein könnten. Dem stimme ich volkommen zu. dieser Meinung ist ja auch die Mathelehrerin. Jedoch glaube ich nicht, dass der Schüler seine Faulheit als die Schwierigkeit ansieht, sondern dass er sichlieber auf die internal, stabile Attribution bezieht, um so sich vorzumachen, dass nicht er das ""Problem"" ist sondern die mangelnde Begabung in der Familie",0
"E macht seine mangelnde Begabung, die offensichtlich in der Familie liegt, dafür verantwortlich.""Irgendwie wird mir immer klarer, daß Mathe nicht mein Fach ist.""",0
"das ist gut, das hab ich völlig vergessen, er hat ja die neunte klasse geschafft, d. h. er hatte erfolg!",0
" aber die Eltern sollten auch andere Einstellung haben, versuchen ihm zu erklären, dass er viel üben sollte.",1
"Du hast gerade geschrieben, dass",0
"jagut die Lehrer innen haben ja nur die Arbeiten bewertet. Dass denen vermittelt wurde, dass es nie was wird steht nicht im Text.",0
Eine Vorschlag von mir zu diesem Fall wäre dass Herr Peters von sich selber nicht überzeugt ist also internal stabil,0
nein da war sonst keine Nachicht,0
 Matheschwäche auf ,0
und er mitdieser sichtweise motivierter an das lernen herangehen kann.,1
