message,epi
 (internal,1
" Das liegt zum einen darin, dass er seinen Misserfolg durch eigene Unbegabung rechtfertigt",1
Wollen wir das bitte mal abschliessen... hab keine Lust mehr.,0
"selbstattribution, ",1
"Okay, Michael attribuiert internal stabil auf seine nicht vorhandene Begabung und ist dadurch vermutlich auch entmutigt sich für Mathe anzustrengen, was in ""Faulheit"" endet. Stimmst du da zu?",1
Seine Anstrengungen und das Einwirken der Eltern auf Michael ist variabel,0
"Diese Meinung hat er von seinen Eltern bekommen. Er denkt zwar, dass er nicht begabt ist, aber dabei waren es nur seine Eltern nicht.",0
Willst du Aufgabe 1 oder 2? Danach können wir gegenseitig ergänzen,0
"Könnte man dann also sagen, er hat eine internale stabile Attribution (oder er und seine Eltern gehen zumindest davon aus), obwohl es genauso gut einfach eine internale variable Attribution sein könnte, weil er sich vielleicht einfach nur etwas mehr anstrengen muss?",1
"Ein wichtiges Konzept, was man dabei beachten sollte, ist  auch die Tatsache, dass laut Bernhard Weiner Z.56/57 diese Einstellung von großem Nachteil ist",0
und die ungünstige,1
 (internal,1
stabil).,1
stabile Attribution  wird überwiegen.,1
Sollen wir vielleicht mal zur zweiten Frage übergehen?,0
"Ja, sehr schön. Ich würde vllt noch den letzten Satz des Textes so interpretieren, dass sie Hauptperson trotz der Fremdattribution von Frau Weber nicht optimistisch in die Zukunft schaut.",0
er attriebutiert sie als internal,1
"Die lehrerin könnte sich aber mehr mühe geben, ihm das verständloch zu machen.",0
variable also anstrengungzurück.,0
"Kannst du mir genauer erklären, was du damit meinst",0
 Er hat ja dadurch kein Vertrauen mehr in seine Fähigkeiten und glaubt keine Begabung für Mathe zu haben.,1
"Eventuell hat Michael auch noch keine positiven Erfolge mit dem Unterrichtfach Mathe gemacht, was natürlich demotivieren ist, weshalb er die Ursache auf seine Begabung zurückführt",1
"Bevor wir anfangen, könnt ihr mir bestätigen, dass das Halbsätze-Tool bei euch richtig funktioniert? Bitte wählt dazu einen Halbsatz aus und postet ihn in den Chat.",0
"Michael ist sowohl durch seine EIgenattribution,",1
 Er glaubt nicht an seine Fähigkeit/Begabung,1
PROGNOSE UND PÄDAGOGISCHE KONSEQUENZEN AUS DER PERSPEKTIVE DER ATTRIBUTIONSTHEORIE:,0
"Eine neue Idee zu diesem Fall ist, dass Michael selbst seine eigenen schlechten Noten (Selbstattribution) als Resultat mangelnder Begabung sieht (stabil-internaler Faktor)",1
"- Michael attribuiert selbst, ",1
Belege und Begründungen:,0
"Mir fällt gerade noch zu den Eltern ein, dass sie es ja eigentlich nicht nur auf internal stabil sondern irgendwie ja auch auf external stabil umlenken, wenn der Vater z. B. sagt ""die Peters sind noch immer der Schrecken der Mathematiklehrer gewesen"".",0
"Michael ist sowohl durch seine EIgenattribution,",1
"Ja.. Meiner Meinung nach liegt das Problem der Person darin, dass sowohl er als auch seine Eltern den Grund für die Schwierigkeiten stabil internal attribuieren",1
"Bei mir ruckelt das beim hochscrollen, aber es geht.",0
"und darüber haben wir ja gerade gelesen, das das die negatievste fotm von ",1
Genau,0
wogegen frau weber ihn aher auf die variable anspricht. wie z.b. zuwenig anstrengung.,0
"wobei Michael, der dabei durch siene Eltern unterstützt wird ( Fremdattributation ) ",0
(mangelnde begabung) in eine internal variable attribution(zu faul gewesen)umgewandelt werden,1
 seine Selbstattribution zu ändern.,1
Das mit Asien hab ich noch nicht so ganz verstanden.,0
Belege und Begründungen:,0
stabil.,1
"Nun zum Ergebnis: die Schwierigkeit von der Person im Text besteht darin, dass er seine Misserfolge internal und stabil attribuiert. Dies wirkt sich ungünstig auf seine Motivation und generell auf sein Lernerfolg aus",1
" selbst machen familiäre, interne",1
