message,epi
"Michaels Problem ist, dass er seine schlechte Mathe-Leistung internal-stabil attribuiert und auf mangelnde Begabung zurückführt. dies ist beeinflusst durch die internal-stabile Attribution seiner Eltern , die meinen, dass die gesamte Famiie vn Natur aus schlecht in Mathe sei. Zudem hat seine Lehrerin eine internal-variable Attribution und hält Michael für faul, was ebenfalls zu seiner schlechten Motivation beiträgt, da es besser wäre ihm eine external-Variable Ursache für seinen Misserfolg zu vermitteln.",1
"Michael gerät damit aber in einen Konflikt, denn sie stempelt seine Eltern als faul ab",0
"Ich habe mich gefragt, ob die Aussage der Lehrerin, dass es an der Faulheit des Schüler legen könnte als Fähigkeit gezählt wird? Also als auch internale stabile Attribution",0
"schlecht laut dem text ""von großem Nachteil"" schreibt der autor da.",0
Peters wird Mathe nicht richtig verstehen,0
variable ursache,1
"Keiner der Gesprächspartner schafft es die motivation von Michael zu steigern, weil keiner seine Fähigkeiten anspricht.",0
" Ich habe mir den Text nochmal durchgelesen und mitlerweile bin ich mir nicht so sicher, ob ich noch dieser Meinung bin.",0
"denn die Fremdattribution duch die Eltern, ",0
- IST DIE LOKALITÄT DER ATTRIBUTION INTERNAL ODER EXTERNAL?,0
"Michael hat Schwierigkeiten mit Mathe. Er weiß nicht, ob er diese Schwierigkeit überwinden kann. Die eigentlichen Gründe für seine Schwierigkeiten werden nicht klar durch das Fallbeispiel. Die Eltern schreiben ihm zu, dass er schlecht ist in Mathe, weil sie schlecht waren (stabile externale Attribution). Die Lehrerin schreibt ihm zu, dass er faul ist (variable externale Attribution). Und Michael denkt, dass Mathe nicht sein Fach ist (für uns ist im Fallbeispiel nicht ganz klar ob internale oder externale Attribution, sie ist aber stabil).",1
 und seiner Lehrerin.,1
"Frau Weber, sagt er müsse sich anstrengen.",0
"Eine neue Idee zu diesem Fall ist, dass Michaels Lehrerin versucht, Michael zu motivieren, indem sie ihn dazu bringen möchte, dass er seinen mangelnden Erfolg auf zu wenig Anstrengung zurückführt.",1
UNTER ATTRIBUTIONEN VERSTEHE ICH:,0
Hallo,0
"Vor allem, dass er sagt, sein Abi  nur durch Spickzettel und  Abschreiben bestanden zu haben, ist denkbar ungünstig (wenn auch eine lustige Story)",0
Relativierungen des Arguments:,0
Fremdattribution. ,1
alle familienmitglieder waren schlecht in mathe,0
Aber natürlich könnte er sich auch durch die Fremdattribution durch die Lehrerin ,1
"Für euch zur Info: In den Reitern über dem Chat findet ihr den Fall, die Aufgabenbeschreibung und die Attributionstheorie. Falls ihr Fragen habt, könnt ihr sie jederzeit stellen.",0
Michael ist sowohl durch seine Eltern und seine lehrerin als auch durch sich selbst beeinflußt,0
"andererseits reagiert die Lehrerin bedingt motivierend, indem sie ihn auffordert sich anzustrengen",1
 4.)fr.weber=lehrerin:,1
"selbstattribution, ",0
